
2024/05/25 (18:50:25) | ===> btop++ v.1.3.2
2024/05/25 (18:50:25) | WARNING: Failed to set locale us_EN.UTF-8 continuing anyway.

2024/05/25 (18:56:43) | ===> btop++ v.1.3.2
2024/05/25 (18:56:43) | WARNING: Failed to set locale us_EN.UTF-8 continuing anyway.

2024/05/25 (20:15:51) | ===> btop++ v.1.3.2
2024/05/25 (20:15:51) | WARNING: Failed to set locale us_EN.UTF-8 continuing anyway.

2024/05/26 (01:20:47) | ===> btop++ v.1.3.2
2024/05/26 (01:20:47) | WARNING: Failed to set locale us_EN.UTF-8 continuing anyway.

2024/11/17 (13:47:23) | ===> btop++ v.1.4.0
2024/11/17 (13:47:23) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
